"Division","Game ID","Date","Time","Venue","Home Team","Away Team","Game Status"
"U18 - B2","HLU18233","2021-11-14","16:00","METCALFE","METCALFE JETS U18 B3 (1)","ORLEANS RUSH U18 B2 (5)","Game Results Entered & Game Sheet Received"
"U15 - B2","HLU15B227","2021-11-14","17:00","SENECAL","ORLEANS RUSH U15 B3 (0)","LEITRIM HAWKS U15 B3 (0)","Game Results Entered & Game Sheet Received"
"U18 - B1","HLU18B133","2021-11-14","17:00","METCALFE","LEITRIM HAWKS U18 B5 (1)","BLACKBURN STINGERS U18 B1 (1)","Game Results Entered & Game Sheet Received"
"U18 - A","HLU18A029","2021-11-14","18:00","METCALFE","METCALFE JETS U18 A1 (0)","LEITRIM HAWKS U18 A2 (3)","Game Results Entered & Game Sheet Received"
"U21","HLU21B27","2021-11-14","19:00","RJ KENNEDY","CUMBERLAND GRADS U21 B1 (11)","CUMBERLAND GRADS U21 B2 (7)","Game Results Entered & Game Sheet Received"
"U11 - B","HLU11B142","2021-11-15","18:30","BARRETT WEST","LEITRIM HAWKS U11 B1 (1)","METCALFE JETS U11 B1 (7)","Game Results Entered & Game Sheet Received"
"U21","HLU21B28","2021-11-15","20:30","RJ KENNEDY","CUMBERLAND GRADS U21 B1 (3)","LEITRIM HAWKS U21 B1 (6)","Game Results Entered & Game Sheet Received"
"U15 - A","HLU15A44","2021-11-16","20:00","METCALFE","ORLEANS RUSH U15 A1 (2)","METCALFE JETS U15 A1 (0)","Game Results Entered & Game Sheet Received"
"U18 - A","HLU18A031","2021-11-16","20:00","RUSSELL","RUSSELL WARRIORS U18 A1 (5)","GLOUCESTER CENTRE COUGARS U18 A1 (1)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18234","2021-11-16","20:30","BARRETT WEST","LEITRIM HAWKS U18 B4 (1)","RUSSELL WARRIORS U18 B2 (1)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18237","2021-11-16","21:00","METCALFE","ORLEANS RUSH U18 B2 (2)","BLACKBURN STINGERS U18 B2 (3)","Game Results Entered & Game Sheet Received"
"U18 - B1","HLU18B132","2021-11-16","21:30","BARRETT WEST","LEITRIM HAWKS U18 B3 (4)","METCALFE JETS U18 B1 (1)","Game Results Entered & Game Sheet Received"
"U15 - B1","HLU15B129","2021-11-17","18:30","BARRETT WEST","RUSSELL WARRIORS U15 B1 (4)","LEITRIM HAWKS U15 B1 (5)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18236","2021-11-17","21:00","ARMSTRONG","GLOUCESTER CENTRE COUGARS U18 B1 (3)","METCALFE JETS U18 B3 (2)","Game Results Entered & Game Sheet Received"
"U21","HLU21B30","2021-11-18","20:30","SENECAL","GLOUCESTER CENTRE COUGARS U21B (10)","LEITRIM HAWKS U21 B2 (1)","Game Results Entered & Game Sheet Received"
"U21","HLU21B29","2021-11-18","20:30","METCALFE","METCALFE JETS U21 B1 (3)","CUMBERLAND GRADS U21 B1 (5)","Game Results Entered & Game Sheet Received"
"U13 - C","HLU13C22","2021-11-19","18:00","METCALFE","METCALFE JETS U13 C1 (1)","BLACKBURN STINGERS U13 C1 (6)","Game Results Entered & Game Sheet Received"
"U15 - B1","HLU15B128","2021-11-19","19:00","METCALFE","METCALFE JETS U15 B1 (2)","GLOUCESTER CENTRE COUGARS U15B1 (2)","Game Results Entered & Game Sheet Received"
"U18 - A","HLU18A033","2021-11-19","19:00","ARMSTRONG","GLOUCESTER CENTRE COUGARS U18 A1 (1)","METCALFE JETS U18 A1 (5)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18238","2021-11-19","19:00","RUSSELL","RUSSELL WARRIORS U18 B2 (5)","METCALFE JETS U18 B3 (1)","Game Results Entered & Game Sheet Received"
"U18 - B1","HLU18B156","2021-11-19","20:00","RUSSELL","LEITRIM HAWKS U18 B1 (4)","RUSSELL WARRIORS U18 B1 (1)","Game Results Entered & Game Sheet Received"
"U15 - A","HLU15A34","2021-11-19","20:00","SENECAL","RUSSELL WARRIORS U15 A1 (0)","LEITRIM HAWKS U15 A1 (1)","Game Results Entered & Game Sheet Received"
