"Division","Game ID","Date","Time","Venue","Home Team","Away Team","Game Status"
"Bantam B2","HLBTB225","2020-02-14","20:00","BARRETT EAST","METCAFJETS2 (5)","BBSTINGERS2 (1)","Game Results Entered & Game Sheet Received"
"Midget B1","HLMB148","2020-02-14","21:00","BARRETT EAST","LETRMHAWKS1 (1)","BBSTINGERS1 (0)","Game Results Entered & Game Sheet Received"
"Atom A","HLATA35","2020-02-15","08:00","SENECAL","ORLEANS1 (5)","METCAFJETS1 (3)","Game Results Entered & Game Sheet Received"
"Atom C","HLATC60","2020-02-15","09:00","RUSSELL","RSWARRIORS1 (5)","ORLEANS1 (0)","Game Results Entered & Game Sheet Received"
"PeeWee C","HLPC59","2020-02-15","09:00","SENECAL","BBSTINGERS1 (2)","GCTCOUGARS1 (1)","Game Results Entered & Game Sheet Received"
"PeeWee B1","HLPWB111","2020-02-15","10:00","RUSSELL","BBSTINGERS2 (4)","ORLEANS2 (2)","Game Results Entered & Game Sheet Received"
"Novice A","HLNA82","2020-02-15","12:00","METCALFE 2 HALF","METCAFJETS1","GCTCOUGARS1",""
"Novice C","HLNC89","2020-02-15","12:00","METCALFE 1 HALF","METCAFJETS2","LETRMHAWKS2",""
"Novice B","HLNB142","2020-02-15","13:00","POTVIN 1 HALF","METCAFJETS3","METCAFJETS4",""
"Novice B","HLNB170","2020-02-15","13:00","POTVIN 2 HALF","ORLEANS3","BBSTINGERS1",""
"Novice B","HLNB165","2020-02-15","13:30","BARRETT WEST 2 HALF","LETRMHAWKS2","METCAFJETS5",""
"Novice C","HLNC87","2020-02-15","13:30","BARRETT WEST 1 HALF","LETRMHAWKS3","METCAFJETS1",""
"Novice B","HLNB162","2020-02-15","14:00","POTVIN 1 HALF","RSWARRIORS3","LETRMHAWKS3",""
"Novice A","HLNA91","2020-02-15","14:30","BARRETT WEST 2 HALF","LETRMHAWKS1","BBSTINGERS1",""
"Novice C","HLNC98","2020-02-15","14:30","BARRETT WEST 1 HALF","RSWARRIORS1","GCTCOUGARS1",""
"PeeWee B1","HLPWB121","2020-02-15","15:00","BARRETT EAST","LETRMHAWKS4 (5)","LETRMHAWKS2 (2)","Game Results Entered & Game Sheet Received"
"Atom C","HLATC59","2020-02-15","15:00","POTVIN","GCTCOUGARS1 (6)","LETRMHAWKS1 (0)","Game Results Entered & Game Sheet Received"
"Atom C","HLATC58","2020-02-15","15:30","BARRETT WEST","LETRMHAWKS2 (0)","BBSTINGERS1 (6)","Game Results Entered & Game Sheet Received"
"PeeWee B2","HLPWB229","2020-02-15","16:00","METCALFE","GCTCOUGARS1 (2)","METCAFJETS1 (1)","Game Results Entered & Game Sheet Received"
"PeeWee A","HLPWA56","2020-02-15","16:00","BARRETT EAST","METCAFJETS1 (0)","LETRMHAWKS1 (7)","Game Results Entered & Game Sheet Received"
"PeeWee B2","HLPWB210","2020-02-15","16:00","BLACKBURN","RSWARRIORS1 (3)","METCAFJETS3 (8)","Game Results Entered & Game Sheet Received"
"Novice B","HLNB167","2020-02-15","16:00","POTVIN 2 HALF","GCTCOUGARS1","METCAFJETS3",""
"Novice C","HLNC90","2020-02-15","16:00","POTVIN 1 HALF","BBSTINGERS1","ORLEANS1",""
"Atom B1","HLATB123","2020-02-15","16:30","MANLEY","BBSTINGERS2 (5)","ORLEANS2 (2)","Game Results Entered & Game Sheet Received"
"PeeWee C","HLPC54","2020-02-15","16:30","BARRETT WEST","METCAFJETS1 (2)","LETRMHAWKS1 (1)","Game Results Entered & Game Sheet Received"
"PeeWee A","HLPWA58","2020-02-15","17:00","BLACKBURN","BBSTINGERS1 (7)","RSWARRIORS1 (4)","Game Results Entered & Game Sheet Received"
"PeeWee A","HLPWA69","2020-02-15","17:30","BARRETT WEST","LETRMHAWKS2 (1)","GCTCOUGARS1 (0)","Game Results Entered & Game Sheet Received"
"Bantam B1","HLBTB137","2020-02-15","18:00","BLACKBURN","ORLEANS2 (0)","LETRMHAWKS1 (0)","Game Results Entered & Game Sheet Received"
